125+0i 0.924077272598407+0i 0.898528236301194+0.0294834790097541i 0.627381502640536+-0.00376649958692171i -0.202646106555977+0i
126+0i 0.928855498534559+0i 0.897978459124726+0.0313690229816223i 0.626456189304435+-0.00346956671467911i -0.20056583798578+0i
127+0i 0.933501588756674+0i 0.897445770978071+0.0331715220485877i 0.625637075779116+-0.00301101919752315i -0.19864712796807+0i
128+0i 0.9380912516369+0i 0.896922584635441+0.0348687074073184i 0.624865877917873+-0.00241862545127398i -0.196802893198839+0i
129+0i 0.942608731499343+0i 0.896410113759198+0.0364515056845129i 0.624106756202799+-0.00171267743103295i -0.194992678115933+0i
130+0i 0.947317228398997+0i 0.895881743713761+0.0378965845829168i 0.623313553534064+-0.00093527823206279i -0.193111180993261+0i
131+0i 0.952281343297536+0i 0.895329748665126+0.0392152075590387i 0.622445823882846+-0.000102346785749399i -0.19109622390646+0i
132+0i 0.957812628203463+0i 0.894721395676119+0.0404233968552034i 0.621461475312081+0.000769554251805608i -0.188840638540483+0i
133+0i 0.964069752794246+0i 0.894038588147939+0.0415445533116187i 0.620346927826792+0.00164810905508645i -0.186298242246127+0i
134+0i 0.971201828776019+0i 0.89326433805729+0.0426072482864615i 0.619092948799898+0.0025315735347575i -0.18343244216694+0i
135+0i 0.97942726436504+0i 0.892374554812578+0.0436480358861494i 0.617691611249327+0.00341309466687307i -0.180195195037936+0i
136+0i 0.988827875495975+0i 0.891359527767402+0.044700480339708i 0.616150940940964+0.00429462234821739i -0.176581437919328+0i
137+0i 0.999493991501704+0i 0.890208206091718+0.0458038454061099i 0.614479367238524+0.00518260661565665i -0.172586574972675+0i
138+0i 1.0113640900735+0i 0.888925863398679+0.0469845314742761i 0.612704658006751+0.00608998911596581i -0.168258852164127+0i
139+0i 1.024451943731+0i 0.88751033767645+0.0482617494059484i 0.610845341088122+0.00702311380155518i -0.163618187367457+0i
140+0i 1.03860012213202+0i 0.88597747013539+0.0496501474733299i 0.608918411905555+0.00800519618495114i -0.158717572676041+0i
141+0i 1.05369309810788+0i 0.884339630573784+0.0511487698637302i 0.606947585171297+0.00903902159656019i -0.153609260040848+0i
142+0i 1.06945389844869+0i 0.882625977238107+0.0527556793906113i 0.604949582822904+0.0101382821383175i -0.148365186367892+0i
143+0i 1.08571633727513+0i 0.880854611422077+0.0544550727896044i 0.602926031223145+0.0113051411145588i -0.143020369988387+0i
144+0i 1.10214999391796+0i 0.879060738111299+0.0562282833099272i 0.600893660992283+0.0125421611621064i -0.137656028219201+0i
145+0i 1.11853981372989+0i 0.877268847048093+0.0580448884679288i 0.59885152072103+0.0138441460718538i -0.132311433531074+0i
146+0i 1.13472078960679+0i 0.875497083980339+0.0598817513523154i 0.59677978408493+0.015201792412787i -0.126991779328221+0i
147+0i 1.1504923396721+0i 0.873768059626031+0.0617041996409761i 0.594670660776747+0.0165854221632255i -0.121726206656557+0i
